物主,商品分类,商品标题,价格(元),图片链接,发货方式,售后支持,成色外观
bill,家具厨具,买了一千多的茶桌转让,650.0,https://www.xianzhuwu.com/upfile/fm/2025121250579849/2025121250579849.jpg,仅限自提,三天售后服务,六七成新（明显使用）
peter,家具厨具,转让一张食桌配5张椅子,229.0,https://www.xianzhuwu.com/upfile/fm/2025120454524954/2025120454524954.jpg,仅限自提,支持七天无理由退货,九九成新（几乎少用）
nick,家具厨具,实木酸枝茶盘转让,188.0,https://www.xianzhuwu.com/upfile/fm/2025112699101541/2025112699101541.jpg,发货方式未定,支持七天无理由退货,新旧程度未知
robin,家具厨具,出售一个二手好一个玄关柜,80.0,https://www.xianzhuwu.com/upfile/fm/2025112698485297/2025112698485297.jpg,发货方式未定,支持七天无理由退货,新旧程度未知
peter,汽车摩托,20寸单车转让,138.0,https://www.xianzhuwu.com/upfile/fm/17688813440517865539/0.jpg,固定邮费,支持七天无理由退货,九九成新（几乎少用）
peter,汽车摩托,闲置26寸酷炫山地车,185.0,https://www.xianzhuwu.com/upfile/fm/2025120653974854/2025120653974854.jpg,仅限自提,支持七天无理由退货,七八成新（正常使用）
bill,汽车摩托,小孩没读书了原价五百多单车转让,168.38,https://www.xianzhuwu.com/upfile/fm/2025120650975598/2025120650975598.jpg,仅限自提,支持七天无理由退货,七八成新（正常使用）
robin,汽车摩托,转让成人骑行的自行车，适合18岁以上的人骑行,195.0,https://www.xianzhuwu.com/upfile/fm/2025112353575749/2025112353575749.jpg,发货方式未定,支持七天无理由退货,新旧程度未知
peter,汽车摩托,转让一辆自己骑行的山地自行车,188.0,https://www.xianzhuwu.com/upfile/fm/2025112255529999/2025112255529999.jpg,发货方式未定,支持七天无理由退货,新旧程度未知
nick,母婴用品,可爱的小布熊玩具,15.0,https://www.xianzhuwu.com/upfile/fm/2025122056485254/2025122056485254.jpg,包邮到家,支持七天无理由退货,八九成新（轻微使用）
peter,音频乐器,蓝牙小音箱,3.0,https://www.xianzhuwu.com/upfile/fm/17691649528027964151/0.jpg,固定邮费,三天售后服务,七八成新（正常使用）
peter,音频乐器,无线蓝牙音箱德国重低音炮,18.0,https://www.xianzhuwu.com/upfile/fm/17684118675569456257/0.jpg,包邮到家,支持七天无理由退货,九九成新（几乎少用）
nick,音频乐器,蓝牙无线迷你耳机,0.1,https://www.xianzhuwu.com/upfile/fm/17679631075785692605/17679631075785692605.jpg,仅限自提,支持七天无理由退货,八九成新（轻微使用）
robin,音频乐器,mmcx耳机,20.0,https://www.xianzhuwu.com/upfile/fm/2025120352574898/2025120352574898.jpg,仅限自提,支持七天无理由退货,七八成新（正常使用）
robin,五金设备,二手地磅 100吨地磅 3*16米地磅,10000.0,https://www.xianzhuwu.com/upfile/fm/17684411169576492951/0.jpg,固定邮费,七天售后服务,七八成新（正常使用）
bill,音响功放,正品舒尔麦克风，音质清晰，包装盒还在,800.0,https://www.xianzhuwu.com/upfile/fm/17686396694616188159/0.jpg,固定邮费,支持七天无理由退货,八九成新（轻微使用）
nick,宠物绿植,一米二鱼竿，养鱼快乐,200.0,https://www.xianzhuwu.com/upfile/fm/2025121599515551/2025121599515551.jpg,仅限自提,支持七天无理由退货,八九成新（轻微使用）
nick,宠物绿植,狗狗-田园犬,180.0,https://www.xianzhuwu.com/upfile/fm/2025121510297559/2025121510297559.png,仅限自提,三天售后服务,九九成新（几乎少用）
bill,宠物绿植,吊兰花很漂亮搬家转让,80.0,https://www.xianzhuwu.com/upfile/fm/2025120353555157/2025120353555157.jpg,包邮到家,支持七天无理由退货,八九成新（轻微使用）
bill,户外设备,对讲机宝峰民用户外无线对讲机,15.0,https://www.xianzhuwu.com/upfile/fm/17682269628904734778/17682269628904734778.jpg,包邮到家,支持七天无理由退货,八九成新（轻微使用）
